EMPNO,ENAME,JOB,MGR,HIREDATE,SAL,COMM,DEPT NO
7369,SMITH,CLERK,7902,12/17/80,800,,20
7499,ALLEN,SALESMAN,7698,02/20/81,1600,300,30
7521,WARD,SALESMAN,7698,02/22/81,1250,500,30
7566,JONES,MANAGER,7839,04/02/81,2975,,20
7654,MARTIN,SALESMAN,7698,09/28/81,1250,1400,30
7698,BLAKE,MANAGER,7839,05/01/81,2850,,30
7782,CLARK,MANAGER,7839,06/09/81,2450,,10
7788,SCOTT,ANALYST,7566,12/09/82,3000,,20
7839,KING,PRESIDENT,,11/17/81,5000,,10
7844,TURNER,SALESMAN,7698,09/08/81,1500,0,30
7876,ADAMS,CLERK,7788,01/12/83,1100,,20
7900,JAMES,CLERK,7698,12/03/81,950,,30
7902,FORD,ANALYST,7566,12/03/81,3000,,20
7934,MILLER,CLERK,7782,01/23/82,1300,,10
